Year,Fossil Energy R&D,Advanced Energy Systems,Crosscutting Research,Supercritical Transformational Electric Power (STEP),"Carbon Capture, Utilization & Storage (Coal)",Transformational Coal Pilots,NETL Coal Research and Development,Clean Coal Technology (CCT),Advanced Coal Energy Systems & CCUS (total),Natural Gas Technologies,Unconventional Fossil Energy Technologies from Petroleum - Oil Technologies,Program Direction,Special Recruitment Programs,NETL Infrastructure,Fossil Energy Environmental Restoration,Cooperative R&D,Import/Export Authorization,Advanced Metallurgical Research,Natl Academy of Sci Program Review,Energy Efficiency Science Initiative,NETL Research and Operations,Congressionally Directed Funds,Clean Coal Technology (CCT),Strategic Petroleum Reserve,Strategic Petroleum Account,Northeast Home Heating Oil Reserve,Naval Petroleum and Oil Shale Reserves,Elk Hills School Lands Funds,Use of Prior Year Balances,Recission of Prior Year Balances,
2003,"$611,149,000","$154,371,000",$0,$0,"$39,101,000",$0,$0,"$145,116,000","$338,588,000","$45,860,000","$40,983,000","$87,229,000",$0,"$6,954,000","$9,652,000","$7,970,000","$2,981,000","$5,961,000","$497,000","$2,440,000",$0,$0,"$145,116,000",$0,$0,$0,$0,$0,$0,$0,
2004,"$658,951,000","$225,871,000",$0,$0,"$39,375,000",$0,$0,"$75,811,000","$341,057,000","$41,836,000","$34,107,000","$106,225,000",$0,"$6,914,000","$9,595,000","$8,161,000","$2,716,000","$9,876,000",$0,$0,$0,$0,"$75,811,000","$170,948,000",$0,"$4,939,000","$17,995,000","$36,000,000",$0,$0,
2005,"$560,852,000","$232,973,000",$0,$0,"$61,585,000",$0,$0,"-$112,056,000","$182,502,000","$43,632,000","$32,985,000","$105,602,000","$656,000","$6,902,000","$9,467,000","$8,052,000","$1,774,000","$9,861,000",$0,$0,$0,,"-$112,056,000","$126,710,000","$43,000,000","$4,930,000","$17,750,000","$36,000,000",$0,$0,
2006,"$580,669,000","$236,587,000",$0,$0,"$82,040,000",$0,$0,"$28,135,000","$346,762,000","$31,801,000","$30,805,000","$105,872,000","$649,000","$19,800,000","$9,504,000","$5,775,000","$1,781,000","$7,920,000",$0,$0,$0,$0,"$28,135,000","$207,340,000","-$43,000,000",$0,"$21,285,000","$83,520,000",$0,$0,
2007,"$580,946,000","$203,948,000",$0,$0,"$149,732,000",$0,$0,"$58,758,000","$412,438,000","$11,709,000","$2,625,000","$129,803,000","$656,000","$12,000,000","$9,715,000",$0,$0,$0,$0,$0,$0,$0,"$58,758,000","$164,411,000",$0,"$7,966,000","$21,316,000",,$0,$0,
2008,"$727,181,000","$224,545,000",$0,$0,"$187,882,000",$0,$0,"$9,444,000","$421,871,000","$19,270,000","$4,817,000","$148,597,000","$650,000","$12,882,000","$9,483,000","$4,817,000",$0,$0,$0,$0,$0,"$46,794,000","$9,444,000","$186,757,000",$0,"$12,335,000","$20,272,000",,$0,$0,
2009,"$863,104,000","$247,290,000",$0,$0,"$145,800,000",$0,$0,"$288,174,000","$681,264,000","$19,440,000","$4,860,000","$152,000,000","$656,000","$18,000,000","$9,700,000","$4,860,000",$0,$0,$0,$0,$0,"$42,634,000","$288,174,000","$226,586,000",$0,"$9,800,000","$19,099,000",,"$91,816,000",$0,
2010,"$659,770,000","$243,541,000",$0,$0,"$149,994,000",$0,$0,$0,"$393,535,000","$17,364,000","$19,474,000","$158,000,000","$700,000","$20,000,000","$10,000,000","$4,868,000",$0,$0,$0,$0,$0,"$35,879,000",$0,"$243,823,000",$0,"$11,300,000","$23,627,000",,$0,$0,
2011,"$434,052,000","$168,627,000","$41,446,000",$0,"$179,615,000",$0,$0,"-$16,500,000","$373,188,000",$0,$0,"$164,725,000","$699,000","$19,960,000","$9,980,000",$0,$0,$0,$0,$0,$0,$0,"-$16,500,000","$123,141,000",$0,"$10,978,000","$20,854,000",,"-$11,000,000","-$140,000,000",*line item naming conventions for coal-related appropriations were significantly altered starting in 2011
2012,"$337,074,000","$97,169,000","$47,946,000",$0,"$179,194,000",$0,"$35,011,000",$0,"$359,320,000","$14,575,000","$4,859,000","$119,929,000","$700,000","$16,794,000","$7,897,000",$0,$0,$0,$0,$0,$0,$0,$0,"$192,704,000",$0,"$10,119,000","$14,909,000",,$0,"-$187,000",
2013,"$498,715,000","$92,438,000","$45,618,000",$0,"$170,470,000",$0,"$33,338,000",$0,"$341,864,000","$13,865,000","$4,621,000","$114,201,000","$667,000","$15,982,000","$7,515,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,
2014,"$561,931,000","$99,500,000","$41,925,000",$0,"$200,766,000",$0,"$50,011,000",$0,"$392,202,000","$20,600,000","$15,000,000","$120,000,000","$700,000","$16,032,000","$5,897,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,"$8,500,000",$0,
2015,"$560,587,000","$103,000,000","$49,000,000","$10,000,000","$188,000,000",$0,"$50,000,000",$0,"$400,000,000","$25,121,000","$4,500,000","$119,000,000","$700,000","$15,782,000","$5,897,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,
2016,"$632,000,000","$105,000,000","$50,000,000","$15,000,000","$207,000,000",$0,"$53,000,000",$0,"$430,000,000","$43,000,000","$20,321,000","$114,202,000","$700,000",$0,"$7,995,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,$0,
2017,"$421,154,000","$116,650,000","$48,850,000","$24,000,000","$196,300,000","$50,000,000","$38,000,000",$0,"$473,800,000","$43,000,000","$21,000,000","$60,000,000","$700,000","$40,500,000",$0,$0,$0,$0,$0,$0,"$43,000,000",$0,$0,$0,$0,$0,$0,,"-$14,000,000","$246,846",
2018,"$726,817,000","$139,500,000","$45,850,000","$24,000,000","$198,767,000","$35,000,000","$38,000,000",$0,"$481,117,000","$50,000,000","$40,000,000","$60,000,000","$700,000","$45,000,000",$0,$0,$0,$0,$0,$0,"$50,000,000",$0,$0,$0,$0,$0,$0,,$0,$0,
